what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1380055419573
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1380055419573
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1380055419573
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1380055419612
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1380055419612
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1380055419613
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1380055419613
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1380055419613
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1380055419613
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1380055419642
started,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1380055419659
os,sysinfo,,,"win32",1380055419660
arch,sysinfo,,,"x86",1380055419660
ws,sysinfo,,,"win32",1380055419660
locale,sysinfo,,,"en_US",1380055419660
processors,sysinfo,,,"8",1380055419660
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380055419660
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1380055419660
java.specification.name,sysinfo,,,"Java Platform API Specification",1380055419660
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380055419660
java.specification.version,sysinfo,,,"1.6",1380055419660
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380055419660
java.version,sysinfo,,,"1.6.0_23",1380055419660
java.vm.info,sysinfo,,,"mixed mode",1380055419660
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380055419660
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380055419660
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380055419660
java.vm.specification.version,sysinfo,,,"1.0",1380055419660
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380055419660
java.vm.version,sysinfo,,,"19.0-b09",1380055419660
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1380055419731
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1380055419863
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1380055420420
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1380055420421
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1380055420823
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1380055421177
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1380055421643
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1380055421776
